R1,R2
164,58.13311688
165,58.49350649
166,58.91428571
167,58.92675325
168,58.99337662
169,58.84727273
170,59.02766234
171,59.93116883
172,60.03246753
173,59.9
174,59.85012987
175,60.01454545
176,60.22727273
177,60.44
178,60.34727273
179,60.77662338
180,60.5
181,60.87792208
182,61.39571429
183,61.4
184,61.4
185,61.4
186,61.76038961
187,62.26727273
188,62.48
189,62.43480519
190,62.25636364
191,62.21818182
192,62.31168831
193,62.77532468
194,63.10376623
195,63.48831169
196,64.08051948
197,63.84909091
198,64.07974026
199,64.1
200,63.93441558
201,64.20519481
202,64.00220779
203,64.42415584
204,64.53636364
205,64.92519481
206,64.89090909
207,64.93922078
208,64.89363636
209,65.42467532
210,65.9
211,65.9
212,66.05584416
213,66.2
214,66.34025974
215,66.5
216,66.5
217,66.5
218,66.5
219,67.05402597
220,67.2012987
221,67.65714286
222,67.47168831
223,67.7
224,67.5461039
225,67.64545455
226,68.04675325
227,68.26103896
228,68.03311688
229,68.6
230,68.71454545
231,69.01298701
232,69.2
233,69.28883117
234,69.5
235,69.70337662
236,69.29350649
237,69.40415584
238,70.07857143
239,70.15454545
240,70.47948052
241,70.7
242,70.7
243,70.7
244,70.99415584
245,71.1987013
246,71.3
247,71.3
248,71.5212987
249,71.76753247
250,72.12558442
251,72.26818182
252,72.1587013
253,72.36363636
254,72.39285714
255,72.6987013
256,72.7512987
257,73.1
258,73.1
259,73.33844156
260,73.61545455
261,73.7
262,74
263,74
264,74
265,74.04285714
266,74.47337662
267,74.35454545
268,74.9
269,74.91090909
270,75.12363636
271,75.2
272,75.48675325
273,75.40961039
274,75.59545455
275,75.74155844
276,76.05714286
277,76.25779221
278,76.2838961
279,76.63376623
280,76.7
281,76.7
282,76.7
283,76.9025974
284,77.19480519
285,77.4012987
286,77.12467532
287,78.01142857
288,78.28727273
289,78.45168831
290,78.5
291,78.5
292,78.5
293,78.5
294,78.5
295,78.61418182
296,78.88155844
297,79.27205195
298,79.55657143
299,80.02264935
300,79.84781818
301,80.13662338
302,80.15854545
303,80.18046753
304,80.20238961
305,80.25548052
306,80.52285714
307,80.30138732
308,80.4842987
309,80.95435294
310,81.11583575
311,81.47173415
312,81.55880138
313,81.63028419
314,81.701767
315,81.77324981
316,81.95382353
317,82.45387777
318,82.58769824
319,82.65918105
320,82.73066387
321,82.80214668
322,82.87362949
323,83.13602139
324,83.31659511
325,83.38807792
326,83.45956073
327,83.53104354
328,83.75447441
329,84.14855462
330,84.34549198
331,84.41697479
332,84.4884576
333,84.55994041
334,84.63142322
335,84.70290604
336,84.79971352
337,85.13818182
338,85.63990495
339,85.62495012
340,85.52564465
341,85.78400151
342,85.95859213
343,86.03266328
344,86.24231884
345,86.23690947
346,86.46020139
347,86.61959721
348,86.85535667
349,86.69838886
350,86.82505741
351,87.09354414
352,87.39475814
353,87.4505176
354,87.50627706
355,87.86203651
356,87.91779597
357,88.1862827
358,88.12204216
359,88.38507435
360,88.60992471
361,88.79659326
362,88.85235272
363,88.90811218
364,88.96387164
365,89.29235837
366,89.08513081
367,89.53011105
368,90.08690947
369,90.14266893
370,90.19842838
371,90.36327875
372,90.6099473
373,90.66570676
374,90.72146621
375,90.77722567
376,90.83298513
377,91.00562771
378,91.24450405
379,91.3002635
380,91.48303595
381,91.97671749
382,92.11663279
383,92.38511952
384,92.47906079
385,92.53482025
386,92.59057971
387,92.64633917
388,92.70209863
389,92.75785808
390,92.81361754
391,93.20444193
392,93.52513646
393,93.7827141
