R1,R2
475,119.84
476,120.1357298
477,120.0488782
478,120.3272376
479,120.8518215
480,120.8479131
481,121.4319903
482,122
483,122
484,122
485,122
486,122
487,122.1858625
488,122.36
489,122.6713631
490,122.9241013
491,123.1950784
492,123.0969361
493,123.5628951
494,123.6949095
495,123.7752473
496,123.535971
497,123.8525452
498,124.1686852
499,124.1730277
500,124.2755127
501,124.9030157
502,125.2000483
503,125.6
504,125.6
505,125.6
506,125.6
507,125.6
508,125.6
509,125.6
510,125.9413269
511,125.6264897
512,125.9256936
513,126.2461761
514,126.5961882
515,126.7164777
516,127.2527865
517,127.0695296
518,127.3843667
519,127.4
520,127.4
521,127.6553438
522,127.5124729
523,127.6397105
524,127.8277443
525,128.3710012
526,128.5755368
527,128.693655
528,128.4930277
529,128.48
530,128.8161158
531,129.2
532,129.3789144
533,129.2920627
534,129.3537274
535,129.56
536,130.0289988
537,130.28
538,130.28
539,130.28
540,130.28
541,130.2865139
542,130.7277201
543,131
544,131
545,131
546,131
547,131.3339445
548,131.6787455
549,131.4151508
550,131.789047
551,131.9970567
552,131.8168396
553,132.08
554,132.08
555,132.6562606
556,132.5833052
557,132.6467069
558,132.9802171
559,132.9658866
560,133.1847527
561,133.3532449
562,133.3167672
563,133.3732207
564,133.2967913
565,133.52
566,133.9004101
567,133.984222
568,134.1279614
569,134.573076
570,134.9469723
571,134.5991315
572,134.2695296
573,134.96
574,134.96
575,135.1532449
576,135.3369361
577,135.68
578,135.68
579,135.68
580,135.68
581,135.8198311
582,136.2032811
583,136.04
584,136.2215199
585,136.5150784
586,136.6527382
587,136.4
588,136.6570808
589,136.8438118
590,137.3848975
591,137.48
592,137.48
593,137.48
594,137.8004825
595,137.84
596,138.0171773
597,138.2
598,138.213462
599,138.56
600,138.56
601,138.56
602,138.6772497
603,139.0055489
604,139.0832811
605,138.6472859
606,139.2517732
607,140
608,140.2952955
609,140.0725211
610,140.2796622
611,140.36
612,140.36
613,140.36
614,140.36
615,140.36
616,140.6262002
617,140.72
618,140.72
619,141.2367672
620,140.9410374
621,141.4886369
622,141.522509
623,141.44
624,141.7148854
625,142.1287334
626,141.8903257
627,142.4609409
628,142.2329554
629,142.52
630,142.52
631,142.7075995
632,142.987696
633,143.24
634,143.0823643
635,143.0276478
636,143.24
637,143.24
638,143.24
639,143.4658142
640,143.6
641,143.6
642,143.9452352
643,143.9925694
644,144.3130519
645,144.68
646,144.7177805
647,145.0122075
648,145.0486852
649,145.0321834
650,144.7008444
651,145.3878408
652,145.4
653,145.4
654,145.4
655,145.4
656,145.6800965
657,145.4877201
658,145.6644632
659,145.9037394
660,145.9623643
661,146.3510253
662,147.0779735
663,146.744029
664,146.9159952
665,146.9919903
666,147.0380217
667,147.2
668,147.2
669,147.3784801
670,147.56
671,147.8704946
672,148.0580941
673,148.28
674,148.28
675,148.28
676,148.2999759
677,148.64
678,148.64
679,148.64
680,148.64
681,148.772883
682,149.4251387
683,149.3882268
684,149.72
685,149.7282509
686,150.078263
687,149.731725
688,150.0582871
689,150.08
690,150.08
691,150.08
692,150.08
693,150.08
694,150.9632811
695,150.5407479
696,151.0653317
697,151.16
698,151.3984077
699,151.2915802
700,151.3784318
701,151.52
702,151.52
703,151.7436429
704,152.1909288
705,151.88
706,152.2061279
707,152.3585525
708,152.24
709,152.4658142
710,152.6
711,152.7085645
712,153.1202413
713,153.32
714,153.1319662
715,153.16193
716,153.5358263
717,153.68
718,153.718649
719,154.1589867
720,154.0586731
721,154.4086852
722,154.7586972
723,154.76
724,154.76
725,154.76
726,155.1147889
727,155.12
728,155.1425814
729,155.4435223
730,155.1703739
731,155.48
732,155.48
733,155.5182147
734,156.0484439
735,155.8625814
736,156.2
737,156.4088782
738,156.5226538
739,156.7489023
740,156.92
741,156.92
742,156.92
743,156.92
744,157.0589626
